lumberjack lumberman timberman
bridget brigid
unwantedly uninvitedly
skinned abraded
sharp-eared quick-eared
weightlifter lifter
chimneysweep chimneysweeper
amentiferous amentaceous
squalidly sordidly
haematology hematology
controversialist disputant
particularised particularized
sleepwalker noctambulist somnambulist
sneakily surreptitiously
focalization focalisation
squawbush skunkbush
propellent propellant
floorwalker shopwalker
humblebee bumblebee
pleonaste ceylonite
odorless inodorous
semiformal black-tie semi-formal
childbed parturiency
voltarian voltarean
limo limousine
lumpen lumpish
appurtenant ancillary
sunstruck sunlit
physiatrics physiotherapy
intropin dopamine dopastat
stubbornly cussedly mulishly obdurately obstinately pig-headedly
short-term short-run
lumper dock-walloper docker dockhand loader longshoreman stevedore
gymnomycota myxomycota
inquiringly enquiringly
cooked-over reheated warmed-over
unadmonished unchastened unrebuked unreproved
washbasin washbowl
semiconductive semiconducting
twain distich doubleton duad dyad
gravitative gravitational
shuddery scarey scary
organdie organdy
cissy sissified sissyish
bicornuate bicornate bicorned bicornuous
cognizant cognisant
tauntingly teasingly
anorchidism anorchia anorchism
lino linoleum
afterimage aftersensation
insalubrity insalubriousness
matrisib matrikin
decolonisation decolonization
invincibility indomitability
unfavourably unfavorably
crampoon crampon
metric metrical
yaws frambesia framboesia
inaudibility inaudibleness
increasingly progressively
huck huckaback
bombinate bombilate
hemimetabolic hemimetabolous hemimetamorphic hemimetamorphous
chin-wagging causerie chin-wag gab gabfest
attribution ascription
spindleshanks spindlelegs
arawak arawakan
rapscallion rascal
pinned stapled
normality normalcy
obviousness noticeability noticeableness
turcoman turkoman
tintometer colorimeter colourimeter
moldered mouldered
twenty-four xxiv
slipover pullover
greenish dark-green light-green
brahman brahmin
kopje koppie
phenylamine aminobenzine aniline
nonconductor dielectric insulator
crabbiness crabbedness
bootee bootees bootie booties
banteng banting tsine
veldt veld
shiatsu acupressure g-jo
otalgia earache
cosiness coziness snugness
conventionalisation conventionalization stylisation stylization
paleopathology palaeopathology
legitimatize decriminalize legalize legitimize
motiveless unprovoked
groveling grovelling wormlike
paperer paperhanger
nippy parky
adnexa annexa
bologram bolograph
briskness alacrity
taegu tegu
hypochondriasis hypochondria
immutability immutableness
curvilineal curvilinear
amphiprostylar amphiprostyle porticoed
kerosine kerosene
unadorned undecorated
curvilinear curvilineal
suriname surinam
whatnot bric-a-brac knickknack knickknackery nicknack
anuran salientian batrachian
downtrodden persecuted
hollow-eyed deep-eyed sunken-eyed
homiletical homiletic
hordeolum stye
caudally caudad
militarization militarisation
butut butat
jugoslavia yugoslavia
cocopa cocopah
cainogenesis caenogenesis cenogenesis kainogenesis kenogenesis
uncreased creaseless
unaesthetic inaesthetic
ventriloquism ventriloquy
holland netherlands
speleology spelaeology
re-experiencing reliving
pustulate acned pimpled pimply
nictate nictitate
huge immense vast
debonaire debonair
reindeer caribou
moldiness mustiness
witchery witchcraft
incomprehensive noncomprehensive
reappear re-emerge
decolorize decolor discolorize
nonexploratory nonexplorative unexplorative unexploratory
clinker-built clincher-built
hapsburg habsburg
undefendable assailable undefended
buffoonery harlequinade
aslope slanting sloped
nutriment nourishment
viscometric viscosimetric
misname miscall
refractoriness recalcitrance recalcitrancy unmanageableness
lite low-cal
necrose sphacelate
milliped millepede millipede
rollick cavort
peeress noblewoman
pneumonoconiosis pneumoconiosis
bran-new brand-new
reefy shelfy shelvy shoaly
spontaneity spontaneousness
mastigomycota mastigomycotina
bootie bootee bootees booties
diuril chlorothiazide
glimmering glimmery
fascicule fascicle fasiculus
chockful chock-full chockablock choke-full chuck-full
dreamworld dreamland
venezia venice
barye microbar
oscines passeres
hobgoblin goblin
moniliasis candidiasis
convalescence recuperation
horseshit buncombe bunkum dogshit guff hogwash
descendent descendant
multifariousness diverseness
suaveness suavity
pinstripe pinstriped
zoster shingles
costliness dearness
fibre fiber
seawall breakwater groyne jetty
semisynthetic man-made
frills falderal gimcrackery gimcracks
compositor typesetter typographer
clinquant tinseled tinselly
playactor trouper
longsightedness farsightedness hypermetropia hypermetropy hyperopia
unbearable unendurable
environmentalist conservationist
frilly frilled
hydroponics aquiculture
attributive prenominal
heliacal heliac
arterialise arterialize
curableness curability
pyrosis heartburn
gangster mobster
congruousness congruence congruity
camas camash camass camosh quamash
infantryman footslogger
torpidity torpor
cavitied alveolate faveolate honeycombed pitted
encryption encoding
endogenic endogenetic
chetah cheetah
demagogical demagogic
camphorweed vinegarweed
piffling fiddling footling niggling picayune piddling
malposition misplacement
unprocurable unobtainable
pigwash pigswill
rigour rigor
danseuse ballerina
hanky handkerchief hankey hankie
suffragist suffragette
squirm wriggle
succour succor
beholder perceiver
heathenism paganism
pelmet valance
swineherd pigman
shunning avoidance
goiter goitre
hula hula-hula
authorisation empowerment
deckle-edged deckled featheredged
noticeableness noticeability obviousness
solmisation solmization
nonsynchronous unsynchronized unsynchronous
unlikable unlikeable
companionship comradeship
hayastan armenia
externalisation exteriorisation exteriorization
lounger dallier dillydallier
bibliolatry bible-worship
visualized envisioned
brahmin brahman
medal medallion
ventriculus gizzard
antenuptial premarital prenuptial
horror-struck horrified horror-stricken
washerman laundryman
pricy high-priced pricey
regularisation normalisation normalization regularization
ascomycotina ascomycota
proportionateness commensurateness
discordantly unharmoniously
doddering doddery senile
channelisation channelization
cheetah chetah
fuddled besotted blotto crocked slopped sloshed sozzled squiffy tiddley tiddly tipsy
screwbean tornillo
ojibwa chippewa ojibway
factoring factorisation factorization
tocktact tictac
streetwalker floozie floozy hooker
slimed slimy
anuria anuresis
famished sharp-set
anuric anuretic
illogic illogicality illogicalness
all-knowing omniscient
strangled stifled
yugoslavia jugoslavia
erivan jerevan
selvage selvedge
garrotte garotte
byrnie hauberk
nematoda aschelminthes
wen steatocystoma
nascent emergent
nonintervention noninterference
non-profit-making nonprofit
verticality verticalness
absolved exculpated exonerated vindicated
inaesthetic unaesthetic
concluded ended
cubiform cube-shaped cubelike cubical cuboidal
cephalosporin mefoxin
sightseeing rubber-necking
cordate heart-shaped
has-been back-number
batholitic batholithic
yahveh jahvey jahweh wahvey yahve yahwe yahweh
demerol meperidine
misshapen deformed ill-shapen malformed
nissan nisan
bothered daunted fazed
gimpiness claudication gameness gimp lameness limping
bagdad baghdad
impeccant sinless
flagellated whiplike
vulgarly smuttily
pinniped pinnatiped
interrogator inquisitor
aerogramme aerogram
unwatchful unvigilant
gewgaw fallal gaud trinket
lounging lolling
cosmographist cosmographer
